Event,Date,UTC_Time,TimeControl,Result,White,Black,WhiteElo,BlackElo,ECO,Opening,TotalMoves,TimeCategory,TimeOfDay,GameLength,ResultClass,RatingDiff
Let's Play!,2024.12.21,19:54:33,1/259200,1-0,speechan,alekscottz,792,1230,B21,,67,Daily,Evening,Long,Loss,438
Live Chess,2025.01.25,19:17:44,300+2,0-1,RyanM-98,alekscottz,1561,1323,B22,,136,Blitz,Evening,Long,Win,-238
Let's Play!,2025.01.10,04:54:03,1/259200,1-0,lord_krondor,alekscottz,1125,1230,A34,,19,Daily,Night,Short,Loss,105
Live Chess,2025.01.25,00:19:51,600,0-1,lord_krondor,alekscottz,925,1389,A00,,74,Blitz,Night,Long,Win,464
Let's Play!,2025.01.10,04:54:09,1/259200,0-1,alekscottz,lord_krondor,1265,1090,B07,,16,Daily,Night,Short,Loss,175
Live Chess,2025.01.25,00:09:53,600,1-0,alekscottz,lord_krondor,1389,925,B06,,51,Blitz,Night,Medium,Win,464
Live Chess,2025.01.25,00:01:24,600,0-1,lord_krondor,alekscottz,925,1389,A34,,44,Blitz,Night,Medium,Win,464
Live Chess,2025.01.24,23:41:20,600,1-0,alekscottz,lord_krondor,1389,925,B23,,49,Blitz,Night,Medium,Win,464
Live Chess,2025.01.24,23:39:53,600,1-0,lord_krondor,alekscottz,925,1389,A30,,17,Blitz,Night,Short,Loss,464
Live Chess,2025.01.24,23:30:11,600,0-1,alekscottz,lord_krondor,1389,925,B06,,48,Blitz,Night,Medium,Loss,464
Live Chess,2025.01.24,23:27:01,600,1/2-1/2,lord_krondor,alekscottz,925,1389,A41,,27,Blitz,Night,Short,Draw,464
Live Chess,2025.01.24,23:05:37,600,1/2-1/2,alekscottz,lord_krondor,1389,925,B06,,97,Blitz,Night,Long,Draw,464
Let's Play!,2025.01.10,02:09:09,1/86400,1-0,liamplayingchezz,alekscottz,746,1306,A43,,9,Daily,Night,Short,Loss,560
Live Chess,2025.01.18,16:50:38,300+2,0-1,alekscottz,YakultProbioticDrink,1303,1164,C25,,119,Blitz,Afternoon,Long,Loss,139
Live Chess,2025.01.18,16:33:58,300+2,1/2-1/2,SomethingTDK,alekscottz,1405,1320,B20,,118,Blitz,Afternoon,Long,Draw,-85
Live Chess,2025.01.18,16:19:09,300+2,0-1,sheep451,alekscottz,1581,1317,B20,,136,Blitz,Afternoon,Long,Win,-264
Live Chess,2025.01.18,15:59:38,300+2,0-1,alekscottz,KillrKermit,1297,1770,B01,,116,Blitz,Afternoon,Long,Loss,-473
Live Chess,2025.01.11,19:35:35,300+2,1-0,liftingTheExponent,alekscottz,1472,1299,E91,,45,Blitz,Evening,Medium,Loss,-173
Live Chess,2025.01.11,19:17:46,300+2,1-0,alekscottz,liftingTheExponent,1299,1472,B10,,65,Blitz,Evening,Long,Win,-173
Live Chess,2025.01.11,18:16:50,300+2,1-0,liftingTheExponent,alekscottz,1472,1299,A60,,161,Blitz,Evening,Long,Loss,-173
Live Chess,2025.01.11,18:00:00,300+2,0-1,alekscottz,liftingTheExponent,1299,1472,B23,,74,Blitz,Evening,Long,Loss,-173
Let's Play!,2024.12.09,04:29:41,1/259200,0-1,lord_krondor,alekscottz,1049,1306,A00,,42,Daily,Night,Medium,Win,257
Let's Play!,2025.01.03,02:33:11,1/86400,1-0,alekscottz,liamplayingchezz,1295,746,C25,,49,Daily,Night,Medium,Win,549
Let's Play!,2024.12.28,06:03:28,1/86400,1-0,liamplayingchezz,alekscottz,746,1295,A43,,35,Daily,Morning,Medium,Loss,549
Let's Play!,2024.12.23,00:33:04,1/259200,0-1,dylandpv,alekscottz,895,1295,A43,,8,Daily,Night,Short,Win,400
Let's Play!,2025.02.20,01:42:12,1/86400,1-0,kyleeadell,alekscottz,236,1230,B10,,36,Daily,Night,Medium,Loss,994
Live Chess,2025.02.22,19:44:15,300+2,1-0,alekscottz,KeyanTheGreat,1326,1258,C25,,21,Blitz,Evening,Short,Win,68
Live Chess,2025.02.22,19:29:58,300+2,1-0,cheesetheorange,alekscottz,1348,1317,B13,,47,Blitz,Evening,Medium,Loss,-31
Live Chess,2025.02.22,19:14:52,300+2,1-0,oscarcmc,alekscottz,1638,1328,D15,,77,Blitz,Evening,Long,Loss,-310
Live Chess,2025.02.22,18:59:12,300+2,0-1,alekscottz,qzingoes,1331,1798,B01,,82,Blitz,Evening,Long,Loss,-467
Let's Play!,2025.02.05,06:25:44,1/259200,0-1,liamplayingchezz,alekscottz,746,1230,D02,,60,Daily,Morning,Long,Win,484
Live Chess,2025.02.19,17:10:00,180+2,1/2-1/2,juju831375,alekscottz,1356,1333,A00,,0,Blitz,Evening,Short,Draw,-23
Let's Play!,2025.02.08,22:06:29,1/259200,0-1,speechan,alekscottz,848,1230,B12,,26,Daily,Night,Short,Win,382
Live Chess,2025.02.15,19:39:47,300+2,0-1,alekscottz,TheworldsChessmaster,1332,766,B11,,60,Blitz,Evening,Long,Loss,566
Live Chess,2025.02.15,19:29:51,300+2,1-0,HorseGOAT,alekscottz,1184,1354,D02,,85,Blitz,Evening,Long,Loss,170
Live Chess,2025.02.15,19:13:46,300+2,0-1,RedstoneLogic,alekscottz,1189,1372,B13,,104,Blitz,Evening,Long,Win,183
Live Chess,2025.02.15,18:58:55,300+2,0-1,alekscottz,Darhaal,1366,1479,C25,,102,Blitz,Evening,Long,Loss,-113
Live Chess,2025.02.08,21:05:20,300+2,1-0,alekscottz,shoadi,1375,1653,C68,,93,Blitz,Night,Long,Win,-278
Live Chess,2025.02.08,20:48:42,300+2,0-1,ShrekWazowski,alekscottz,1452,1354,B10,,80,Blitz,Evening,Long,Win,-98
Live Chess,2025.02.08,20:31:41,300+2,0-1,AKKGavin,alekscottz,1515,1338,D00,,175,Blitz,Evening,Long,Win,-177
Live Chess,2025.02.08,20:15:59,300+2,0-1,alekscottz,ChrisPBaconator,1319,1625,C00,,68,Blitz,Evening,Long,Loss,-306
Let's Play!,2025.01.27,04:39:05,1/259200,0-1,alekscottz,speechan,1230,848,B10,,36,Daily,Night,Medium,Loss,382
Let's Play!,2025.01.27,04:39:13,1/259200,1-0,alekscottz,liamplayingchezz,1230,746,C25,,57,Daily,Night,Medium,Win,484
Live Chess,2025.04.01,04:00:49,180+2,1-0,smalls3390,alekscottz,1287,1288,B10,,40,Blitz,Night,Medium,Loss,1
Live Chess,2025.04.01,03:56:16,180+2,0-1,sm00z,alekscottz,1225,1296,B13,,66,Blitz,Night,Long,Win,71
Live Chess,2025.04.01,03:47:43,180+2,1-0,alekscottz,alphaNineX,1289,1281,B23,,71,Blitz,Night,Long,Win,8
Live Chess,2025.04.01,03:37:28,180+2,1/2-1/2,SiIverrFoxx,alekscottz,1303,1281,D35,,112,Blitz,Night,Long,Draw,-22
Live Chess,2025.04.01,03:33:07,180+2,1-0,alekscottz,TranVanKk,1280,1291,B01,,46,Blitz,Night,Medium,Win,-11
Live Chess,2025.04.01,03:22:56,180+2,1-0,alekscottz,FryEmUpDan,1271,1294,B11,,93,Blitz,Night,Long,Win,-23
Live Chess,2025.03.31,22:40:37,180+2,1/2-1/2,sniblet,alekscottz,1253,1262,B13,,125,Blitz,Night,Long,Draw,9
Live Chess,2025.03.31,22:33:30,180+2,0-1,alekscottz,KnightsFun,1262,1276,B01,,14,Blitz,Night,Short,Loss,-14
Live Chess,2025.03.31,22:22:12,180+2,1-0,alekscottz,sebaria,1270,1234,B01,,47,Blitz,Night,Medium,Win,36
Live Chess,2025.03.31,22:18:01,180+2,1-0,mr_wheels326,alekscottz,1247,1262,D06,,35,Blitz,Night,Medium,Loss,15
Live Chess,2025.03.31,19:13:09,180+2,0-1,alekscottz,comp1exGG,1271,1283,B07,,45,Blitz,Evening,Medium,Loss,-12
Live Chess,2025.03.31,19:02:50,180+2,0-1,du70,alekscottz,1278,1279,B12,,140,Blitz,Evening,Long,Win,1
Live Chess,2025.03.31,18:56:10,180+2,0-1,mohammad_haji,alekscottz,1300,1271,D10,,52,Blitz,Evening,Medium,Win,-29
Live Chess,2025.03.31,18:20:43,180+2,1-0,alekscottz,MarkAPG,1262,1245,B23,,47,Blitz,Evening,Medium,Win,17
Live Chess,2025.03.31,17:19:05,180+2,0-1,kjv98,alekscottz,1242,1254,B15,,108,Blitz,Evening,Long,Win,12
Live Chess,2025.03.31,17:06:56,180+2,1-0,alekscottz,alexglauer,1246,1223,C30,,169,Blitz,Evening,Long,Win,23
Live Chess,2025.03.31,16:40:50,180+2,0-1,alekscottz,OXYZO,1238,1279,B10,,52,Blitz,Afternoon,Medium,Loss,-41
Live Chess,2025.03.31,16:36:39,180+2,1-0,alekscottz,NickzQD,1245,1231,C00,,53,Blitz,Afternoon,Medium,Win,14
Live Chess,2025.03.31,16:34:58,180+2,1-0,AJallday691,alekscottz,1284,1237,B10,,15,Blitz,Afternoon,Short,Loss,-47
Live Chess,2025.03.31,15:17:46,180+2,0-1,alekscottz,Dmitriy149,1244,1263,B01,,97,Blitz,Afternoon,Long,Loss,-19
Live Chess,2025.03.31,04:01:56,180+2,0-1,alekscottz,LawJoyss,1252,1232,C25,,46,Blitz,Night,Medium,Loss,20
Live Chess,2025.03.31,03:41:28,180+2,0-1,samuelb99,alekscottz,1237,1261,D10,,80,Blitz,Night,Long,Win,24
Live Chess,2025.03.31,03:13:15,180+2,1-0,Amit_Samanta16,alekscottz,1257,1253,B13,,21,Blitz,Night,Short,Loss,-4
Live Chess,2025.03.31,02:26:44,180+2,1-0,straight_outta_saigon,alekscottz,1323,1261,B13,,35,Blitz,Night,Medium,Loss,-62
Live Chess,2025.03.31,02:14:10,180+2,0-1,alekscottz,azxcvbnm910,1268,1282,C25,,82,Blitz,Night,Long,Loss,-14
Live Chess,2025.03.31,01:31:01,180+2,1-0,lugaw1,alekscottz,1309,1276,B10,,75,Blitz,Night,Long,Loss,-33
Live Chess,2025.03.31,01:26:03,180+2,0-1,marsv100,alekscottz,1265,1284,A15,,46,Blitz,Night,Medium,Win,19
Live Chess,2025.03.31,01:11:45,180+2,1-0,alekscottz,straight_outta_saigon,1276,1314,C25,,99,Blitz,Night,Long,Win,-38
Live Chess,2025.03.31,00:13:55,180+2,1-0,Hector0208,alekscottz,1264,1267,A03,,37,Blitz,Night,Medium,Loss,3
Live Chess,2025.03.31,00:04:22,180+2,1-0,alekscottz,Double12C,1275,1250,C28,,83,Blitz,Night,Long,Win,25
Live Chess,2025.03.30,22:30:07,180+2,0-1,alekscottz,pawnduu,1267,1264,B01,,62,Blitz,Night,Long,Loss,3
Live Chess,2025.03.30,22:19:48,180+2,0-1,amitsinhanagpur,alekscottz,1302,1275,D00,,84,Blitz,Night,Long,Win,-27
Live Chess,2025.03.30,22:08:08,180+2,1-0,alekscottz,Viftor1,1266,1252,C25,,97,Blitz,Night,Long,Win,14
Live Chess,2025.03.30,21:58:34,180+2,0-1,Korobskura,alekscottz,1308,1258,B10,,64,Blitz,Night,Long,Win,-50
Live Chess,2025.03.30,21:55:53,180+2,1-0,alekscottz,Ali_Basha4,1248,1252,C25,,25,Blitz,Night,Short,Win,-4
Live Chess,2025.03.30,21:47:50,180+2,0-1,robertroc,alekscottz,1207,1239,D02,,80,Blitz,Night,Long,Win,32
Live Chess,2025.03.30,20:25:26,180+2,1-0,Dronningbonde,alekscottz,1207,1231,D00,,41,Blitz,Evening,Medium,Loss,24
Live Chess,2025.03.30,20:19:53,180+2,0-1,alekscottz,Kwasiking12,1240,1272,B23,,54,Blitz,Evening,Medium,Loss,-32
Live Chess,2025.03.30,19:46:58,180+2,1/2-1/2,Natali_kr,alekscottz,1246,1248,B15,,111,Blitz,Evening,Long,Draw,2
Live Chess,2025.03.30,16:50:27,180+2,0-1,alekscottz,Allburnttoast,1248,1206,B23,,72,Blitz,Afternoon,Long,Loss,42
Live Chess,2025.03.30,16:11:38,180+2,0-1,TheDolik,alekscottz,1164,1257,D20,,82,Blitz,Afternoon,Long,Win,93
Live Chess,2025.03.30,16:08:43,180+2,1-0,alekscottz,Sifer89,1251,1234,B11,,15,Blitz,Afternoon,Short,Win,17
Live Chess,2025.03.30,00:40:18,180+2,1-0,AmilaAmilaAmilaAmila,alekscottz,1278,1243,B10,,27,Blitz,Night,Short,Loss,-35
Live Chess,2025.03.29,23:11:42,180+2,0-1,alekscottz,MTGRules,1251,1308,B06,,58,Blitz,Night,Medium,Loss,-57
Live Chess,2025.03.29,23:00:00,180+2,1-0,alekscottz,datdukey,1258,1238,B15,,95,Blitz,Night,Long,Win,20
Live Chess,2025.03.29,21:32:32,180+2,1-0,SirSlawomir,alekscottz,1275,1250,B13,,197,Blitz,Night,Long,Loss,-25
Live Chess,2025.03.29,21:16:37,180+2,1-0,miilan23,alekscottz,1352,1258,D23,,61,Blitz,Night,Long,Loss,-94
Live Chess,2025.03.29,20:54:54,180+2,0-1,alekscottz,dangerphone,1264,1260,B23,,88,Blitz,Evening,Long,Loss,4
Live Chess,2025.03.29,20:42:25,180+2,0-1,Mahmoud_Abdelhamed,alekscottz,1244,1273,B10,,72,Blitz,Evening,Long,Win,29
Live Chess,2025.03.29,20:34:47,180+2,0-1,kq75,alekscottz,1206,1265,A00,,48,Blitz,Evening,Medium,Win,59
Live Chess,2025.03.29,18:52:58,300+2,0-1,alekscottz,avtrit3204,1258,1382,C25,,30,Blitz,Evening,Medium,Loss,-124
Live Chess,2025.03.29,18:36:53,300+2,1/2-1/2,PranavThobhani18,alekscottz,1423,1264,B13,,94,Blitz,Evening,Long,Draw,-159
Live Chess,2025.03.29,18:21:57,300+2,0-1,Xvenger22,alekscottz,1445,1260,B13,,116,Blitz,Evening,Long,Win,-185
Live Chess,2025.03.29,18:03:42,300+2,0-1,alekscottz,FlatToenail,1248,1621,B01,,104,Blitz,Evening,Long,Loss,-373
Live Chess,2025.03.28,19:29:14,180+2,0-1,alekscottz,rgasser,1250,1285,B10,,72,Blitz,Evening,Long,Loss,-35
Live Chess,2025.03.28,18:04:21,600,0-1,colton_wins,alekscottz,968,1516,C28,,32,Blitz,Evening,Medium,Win,548
Live Chess,2025.03.28,17:58:23,600,1-0,alekscottz,colton_wins,1516,968,B01,,62,Blitz,Evening,Long,Win,548
Live Chess,2025.03.28,17:46:03,600,0-1,colton_wins,alekscottz,968,1516,A43,,44,Blitz,Evening,Medium,Win,548
Live Chess,2025.03.28,17:32:44,600,1-0,alekscottz,colton_wins,1516,968,B01,,111,Blitz,Evening,Long,Win,548
Live Chess,2025.03.28,17:28:40,600,0-1,colton_wins,alekscottz,968,1516,B10,,30,Blitz,Evening,Medium,Win,548
Live Chess,2025.03.28,15:38:03,180+2,0-1,alekscottz,Xsi,1258,1209,C00,,54,Blitz,Afternoon,Medium,Loss,49
Live Chess,2025.03.28,15:21:56,180+2,1-0,gabael,alekscottz,1296,1268,B10,,95,Blitz,Afternoon,Long,Loss,-28
Live Chess,2025.03.28,14:44:36,180+2,1/2-1/2,alekscottz,sauce12345,1276,1246,B23,,65,Blitz,Afternoon,Long,Draw,30
Live Chess,2025.03.28,14:36:04,180+2,0-1,alekscottz,WINEDOKENT,1277,1314,B23,,60,Blitz,Afternoon,Long,Loss,-37
Live Chess,2025.03.28,14:31:10,180+2,1-0,tetezouzou,alekscottz,1283,1285,B13,,35,Blitz,Afternoon,Medium,Loss,2
Live Chess,2025.03.28,01:08:54,300,1-0,alekscottz,colton_wins,1293,717,B01,,71,Blitz,Night,Long,Win,576
Live Chess,2025.03.28,01:06:09,300,0-1,colton_wins,alekscottz,717,1293,D00,,35,Blitz,Night,Medium,Win,576
Live Chess,2025.03.28,01:02:38,300,1-0,alekscottz,colton_wins,1293,717,C25,,31,Blitz,Night,Medium,Win,576
Live Chess,2025.03.28,00:57:03,300,0-1,colton_wins,alekscottz,717,1293,B10,,54,Blitz,Night,Medium,Win,576
Live Chess,2025.03.28,00:48:14,300,1-0,alekscottz,colton_wins,1293,717,B01,,109,Blitz,Night,Long,Win,576
Live Chess,2025.03.28,00:47:34,300,0-1,colton_wins,alekscottz,717,1293,B10,,8,Blitz,Night,Short,Win,576
Live Chess,2025.03.28,00:22:25,180+2,1-0,alekscottz,mrfloatymcboatface,1293,1298,B01,,71,Blitz,Night,Long,Win,-5
Live Chess,2025.03.27,18:17:21,600,1-0,colton_wins,alekscottz,1079,1516,B10,,7,Blitz,Evening,Short,Loss,437
Live Chess,2025.03.27,18:07:30,600,0-1,alekscottz,colton_wins,1516,1079,B01,,39,Blitz,Evening,Medium,Loss,437
Live Chess,2025.03.27,17:55:30,600,0-1,colton_wins,alekscottz,1079,1516,D02,,66,Blitz,Evening,Long,Win,437
Live Chess,2025.03.27,17:48:13,180+2,0-1,unswcse,alekscottz,1295,1285,B12,,36,Blitz,Evening,Medium,Win,-10
Live Chess,2025.03.27,17:41:15,180+2,0-1,alekscottz,jules33333333,1276,1276,B23,,50,Blitz,Evening,Medium,Loss,0
Live Chess,2025.03.27,17:34:48,180+2,1-0,alekscottz,Olifatas,1285,1262,B23,,53,Blitz,Evening,Medium,Win,23
Live Chess,2025.03.27,15:01:29,180+2,0-1,alekscottz,DomMathis,1277,1309,B12,,56,Blitz,Afternoon,Medium,Loss,-32
Live Chess,2025.03.27,14:52:39,180+2,0-1,Themula32,alekscottz,1286,1285,A46,,84,Blitz,Afternoon,Long,Win,-1
Live Chess,2025.03.27,14:50:45,180+2,1-0,hmthor,alekscottz,1268,1276,B15,,23,Blitz,Afternoon,Short,Loss,8
Live Chess,2025.03.27,04:45:10,180+2,0-1,alekscottz,lampokfung,1286,1235,C28,,62,Blitz,Night,Long,Loss,51
Live Chess,2025.03.27,04:36:44,180+2,0-1,mjp0105,alekscottz,1330,1297,B10,,74,Blitz,Night,Long,Win,-33
Live Chess,2025.03.27,04:25:51,180+2,1-0,Prodigal888,alekscottz,1334,1286,D02,,61,Blitz,Night,Long,Loss,-48
Live Chess,2025.03.26,23:58:14,180+2,1-0,alekscottz,fiber_bundles,1295,1258,B12,,83,Blitz,Night,Long,Win,37
Live Chess,2025.03.26,23:55:39,180+2,0-1,alekscottz,georgios735,1286,1317,B10,,37,Blitz,Night,Medium,Loss,-31
Live Chess,2025.03.26,03:02:51,600,1-0,alekscottz,michdam3,1516,1482,B10,,97,Blitz,Night,Long,Win,34
Live Chess,2025.03.26,02:05:54,600,0-1,yudhamitha,alekscottz,1507,1508,B15,,104,Blitz,Night,Long,Win,1
Live Chess,2025.03.26,01:52:55,600,0-1,DaiAoRyu,alekscottz,1461,1500,D00,,52,Blitz,Night,Medium,Win,39
Live Chess,2025.03.26,01:48:50,600,0-1,salaheldinsameh,alekscottz,1500,1493,B12,,39,Blitz,Night,Medium,Win,-7
Live Chess,2025.03.26,01:25:25,600,1-0,alekscottz,RaedAlhajj,1484,1484,C25,,99,Blitz,Night,Long,Win,0
Live Chess,2025.03.26,01:19:25,600,0-1,alekscottz,Ahm1941,1476,1512,C25,,48,Blitz,Night,Medium,Loss,-36
Live Chess,2025.03.26,01:16:40,180+2,1-0,les_barbus,alekscottz,1246,1296,B10,,37,Blitz,Night,Medium,Loss,50
Live Chess,2025.03.26,01:10:59,180+2,1-0,alekscottz,HASSAN-SAID,1308,1295,B01,,65,Blitz,Night,Long,Win,13
Live Chess,2025.03.25,16:40:00,180+2,1-0,djopower,alekscottz,1340,1297,D00,,23,Blitz,Afternoon,Short,Loss,-43
Live Chess,2025.03.25,16:30:07,600,1-0,zeeshansiddiqui786,alekscottz,1518,1484,B10,,67,Blitz,Afternoon,Long,Loss,-34
Live Chess,2025.03.25,15:54:35,600,1/2-1/2,alekscottz,himzzz439,1492,1474,C28,,119,Blitz,Afternoon,Long,Draw,18
Live Chess,2025.03.25,15:47:24,600,1-0,alekscottz,charly15998,1492,1498,B12,,29,Blitz,Afternoon,Short,Win,-6
Live Chess,2025.03.25,15:31:31,600,0-1,tanjur123,alekscottz,1475,1483,B10,,94,Blitz,Afternoon,Long,Win,8
Live Chess,2025.03.25,15:11:57,600,0-1,alekscottz,Alexanchik313,1475,1494,B40,,16,Blitz,Afternoon,Short,Loss,-19
Live Chess,2025.03.25,15:04:49,600,0-1,Cbeirasa,alekscottz,1445,1483,B10,,60,Blitz,Afternoon,Long,Win,38
Live Chess,2025.03.25,13:39:52,600,0-1,alekscottz,2rom3,1476,1502,B00,,71,Blitz,Afternoon,Long,Loss,-26
Live Chess,2025.03.25,13:33:34,600,0-1,alekscottz,Ankit26790,1484,1507,C25,,40,Blitz,Afternoon,Medium,Loss,-23
Live Chess,2025.03.25,02:04:21,600,1-0,cahnuki,alekscottz,1493,1492,B10,,45,Blitz,Night,Medium,Loss,-1
Live Chess,2025.03.25,01:48:53,600,0-1,nebeskey,alekscottz,1498,1500,D02,,80,Blitz,Night,Long,Win,2
Live Chess,2025.03.25,01:26:18,600,1-0,EmanueleCucinotta,alekscottz,1509,1492,B12,,51,Blitz,Night,Medium,Loss,-17
Live Chess,2025.03.25,01:09:06,600,1-0,alekscottz,Trailblazer1130,1500,1484,B23,,83,Blitz,Night,Long,Win,16
Live Chess,2025.03.25,00:56:35,600,0-1,j-gro,alekscottz,1500,1492,B10,,90,Blitz,Night,Long,Win,-8
Live Chess,2025.03.25,00:08:28,600,1-0,Mostafa-Taha91,alekscottz,1483,1483,B13,,94,Blitz,Night,Long,Loss,0
Live Chess,2025.03.25,00:05:26,600,0-1,alekscottz,michaeljohn09,1491,1504,C25,,20,Blitz,Night,Short,Loss,-13
Live Chess,2025.03.24,22:03:31,600,1-0,alekscottz,tychechess,1499,1477,B01,,63,Blitz,Night,Long,Win,22
Live Chess,2025.03.24,21:50:35,600,0-1,gaspar5564,alekscottz,1452,1491,B10,,74,Blitz,Night,Long,Win,39
Live Chess,2025.03.24,19:23:15,600,1-0,alekscottz,Patriosoldier6,1484,1476,B01,,49,Blitz,Evening,Medium,Win,8
Live Chess,2025.03.24,19:00:31,600,1-0,alekscottz,ManveerMann,1476,1446,B10,,97,Blitz,Evening,Long,Win,30
Live Chess,2025.03.24,18:31:53,600,1-0,Arceo88,alekscottz,1496,1468,B10,,37,Blitz,Evening,Medium,Loss,-28
Let's Play!,2025.02.19,04:47:20,1/259200,1-0,alekscottz,speechan,1230,900,C25,,57,Daily,Night,Medium,Win,330
Live Chess,2025.03.24,17:00:59,600,0-1,alekscottz,adrianconst,1476,1513,C25,,28,Blitz,Evening,Short,Loss,-37
Live Chess,2025.03.24,16:40:51,600,1-0,Aleksandar-Todorovic,alekscottz,1503,1483,B10,,89,Blitz,Afternoon,Long,Loss,-20
Live Chess,2025.03.24,16:30:56,600,0-1,alekscottz,Nash23Docwra,1491,1488,B01,,16,Blitz,Afternoon,Short,Loss,3
Live Chess,2025.03.24,16:08:57,600,0-1,CristianoCaliente,alekscottz,1488,1499,B10,,68,Blitz,Afternoon,Long,Win,11
Live Chess,2025.03.24,16:02:26,600,1-0,alekscottz,radekdzida,1491,1482,B23,,51,Blitz,Afternoon,Medium,Win,9
Live Chess,2025.03.24,14:43:34,600,1-0,casianherbil,alekscottz,1505,1483,B13,,123,Blitz,Afternoon,Long,Loss,-22
Live Chess,2025.03.24,14:19:27,600,0-1,22NHart,alekscottz,1457,1491,B10,,112,Blitz,Afternoon,Long,Win,34
Live Chess,2025.03.24,14:02:06,600,0-1,alekscottz,ramnath246,1483,1500,C25,,140,Blitz,Afternoon,Long,Loss,-17
Live Chess,2025.03.24,13:58:19,600,0-1,kingisbackok,alekscottz,1474,1491,B12,,36,Blitz,Afternoon,Medium,Win,17
Live Chess,2025.03.24,13:43:04,600,1-0,alekscottz,yddadbbig,1483,1476,B00,,67,Blitz,Afternoon,Long,Win,7
Live Chess,2025.03.24,00:34:55,600,1-0,mnmmnm1350,alekscottz,1488,1475,B13,,75,Blitz,Night,Long,Loss,-13
Live Chess,2025.03.24,00:28:14,600,1-0,alekscottz,craignet878,1483,1466,C29,,47,Blitz,Night,Medium,Win,17
Live Chess,2025.03.24,00:11:57,600,1-0,Caracatacas,alekscottz,1483,1475,B12,,13,Blitz,Night,Short,Loss,-8
Live Chess,2025.03.24,00:02:39,600,1-0,alekscottz,imkeen21,1483,1456,C29,,47,Blitz,Night,Medium,Win,27
Live Chess,2025.03.23,23:39:29,600,0-1,alekscottz,ffangioo,1475,1501,C25,,128,Blitz,Night,Long,Loss,-26
Live Chess,2025.03.23,23:25:55,600,1-0,alekscottz,samigndz,1483,1474,B01,,45,Blitz,Night,Medium,Win,9
Live Chess,2025.03.23,23:08:45,600,1-0,MoneyMannnMoussa,alekscottz,1487,1475,D03,,109,Blitz,Night,Long,Loss,-12
Live Chess,2025.03.23,23:03:42,600,1-0,Olgpa,alekscottz,1494,1483,B23,,40,Blitz,Night,Medium,Loss,-11
Live Chess,2025.03.23,22:48:22,600,0-1,trapezoedro,alekscottz,1445,1491,B15,,64,Blitz,Night,Long,Win,46
Live Chess,2025.03.23,22:36:48,600,0-1,alekscottz,senku972,1484,1490,B23,,57,Blitz,Night,Medium,Loss,-6
Live Chess,2025.03.23,22:25:02,600,1-0,alekscottz,marijanvuljan,1492,1485,B40,,71,Blitz,Night,Long,Win,7
Live Chess,2025.03.23,20:07:54,600,1-0,elhero,alekscottz,1521,1484,B10,,65,Blitz,Evening,Long,Loss,-37
Live Chess,2025.03.23,18:58:56,600,1-0,mathieubaril,alekscottz,1506,1491,D06,,23,Blitz,Evening,Short,Loss,-15
Live Chess,2025.03.23,18:54:19,600,0-1,dan1ela1,alekscottz,1493,1499,A45,,41,Blitz,Evening,Medium,Win,6
Live Chess,2025.03.23,18:41:44,600,1-0,ACM53,alekscottz,1516,1491,D06,,41,Blitz,Evening,Medium,Loss,-25
Live Chess,2025.03.23,18:20:43,600,1-0,alekscottz,affanvelani,1499,1504,B23,,81,Blitz,Evening,Long,Win,-5
Live Chess,2025.03.23,18:02:01,600,1-0,alekscottz,HurinTalion,1491,1496,B23,,83,Blitz,Evening,Long,Win,-5
Live Chess,2025.03.23,17:50:01,600,0-1,alekscottz,fabiocavernicolo,1482,1505,B23,,56,Blitz,Evening,Medium,Loss,-23
Live Chess,2025.03.23,17:41:51,600,0-1,dandi08,alekscottz,1496,1490,B12,,76,Blitz,Evening,Long,Win,-6
Live Chess,2025.03.23,16:20:33,600,1-0,janrhoelcoronel,alekscottz,1494,1481,A00,,73,Blitz,Afternoon,Long,Loss,-13
Live Chess,2025.03.23,16:10:13,600,0-1,gabrielpeterG,alekscottz,1472,1489,A05,,56,Blitz,Afternoon,Medium,Win,17
Live Chess,2025.03.22,21:10:00,600,0-1,alekscottz,opLYCAN,1481,1510,B01,,32,Blitz,Night,Medium,Loss,-29
Live Chess,2025.03.22,21:09:06,600,0-1,alekscottz,hatemlabeeb6,1489,1508,C25,,16,Blitz,Night,Short,Loss,-19
Live Chess,2025.03.22,18:38:19,600,1-0,alekscottz,CamCorderr,1497,1479,C28,,43,Blitz,Evening,Medium,Win,18
Live Chess,2025.03.22,17:28:56,600,0-1,meaning605,alekscottz,1453,1489,D00,,63,Blitz,Evening,Long,Win,36
Live Chess,2025.03.22,17:16:43,600,0-1,johnnieboy131278,alekscottz,1449,1481,B12,,86,Blitz,Evening,Long,Win,32
Live Chess,2025.03.22,14:18:45,600,1-0,zakirhiola,alekscottz,1511,1473,B15,,41,Blitz,Afternoon,Medium,Loss,-38
Live Chess,2025.03.22,14:11:19,600,1-0,alekscottz,Aastrix39,1480,1478,B23,,67,Blitz,Afternoon,Long,Win,2
Live Chess,2025.03.22,13:55:19,600,1-0,alekscottz,xxblitzkrieg29,1472,1447,C28,,63,Blitz,Afternoon,Long,Win,25
Live Chess,2025.03.22,13:42:06,600,0-1,MT_123456,alekscottz,1428,1464,B10,,84,Blitz,Afternoon,Long,Win,36
Live Chess,2025.03.22,13:33:38,600,1-0,alekscottz,VIDEC777,1457,1452,C25,,50,Blitz,Afternoon,Medium,Win,5
